source,target,value,time
ZURIQUE,MATCH HOSPITALITY AG,1,2025
ZURIQUE,FORBO MANAGEMENT SA,1,2025
ZURIQUE,AVEC-SAVE AG,1,2025
ZURIQUE,XL SWISS HOLDINGS LTD,1,2025
ZURIQUE,LKK PRIVACY GROUP AG,1,2025
ZURIQUE,AQUILA BERATUNGS GMBH,1,2025
ZURIQUE,ARGONAUTS PARTNERS AG,1,2025
ZURIQUE,TRADEXBANK AG,1,2025
ZURIQUE,CREDIT SUISSE,1,2025
ZURIQUE,WERNER MATHIS AG,1,2025
ZURIQUE,EFG INTERNATIONAL AG,1,2025
ZURIQUE,VEEZOO AG,1,2025
ZURIQUE,VOLCAFE LTD,1,2025
ZURIQUE,TAKEDA PHARMACEUTICALS INTERNATIONAL AG,1,2025
ZURIQUE,PHOENIX MECANO MANAGEMENT AG,1,2025
ZURIQUE,A-CONNECT (GROUP) AG,1,2025
ZURIQUE,HALCYON MANAGEMENT & VERWALTUNGS AG,1,2025
ZURIQUE,HEDGEPOINT SCHWEIZ AG,1,2025
ZURIQUE,SWISS RE CORPORATE SOLUTIONS HOLDING COMPANY LTD,1,2025
ZURIQUE,SWISS REMIT GMBH,1,2025
ZURIQUE,SOUTH POLE HOLDING AG,1,2025
ZURIQUE,AMICORP GROUP AG,1,2025
ZURIQUE,QUICKSORT GMBH,1,2025
ZURIQUE,SAPHIRE MANAGEMENT LTD.,1,2025
ZURIQUE,NEWSTREAM INTERNATIONAL AG,1,2025
ZURIQUE,KEYTRADE AG,1,2025
ZURIQUE,KIBAG BAULEISTUNGEN AG,1,2025
ZURIQUE,SWISSPATH AG,1,2025
ZURIQUE,HedgePoint Switzerland Ltd - BANCO B3 S.A.,1,2025
ZURIQUE,KIBAG AIRFIELD CONSTRUCTION AG,1,2025
ZURIQUE,AXITEC INTERNATIONAL I AG,1,2025
ZURIQUE,SCHALLIBAUM IMMOBILIEN AG,1,2025
ZURIQUE,KALAIDOS HOLDING AG,1,2025
ZURIQUE,HVD I AG,1,2025
ZURIQUE,TAKEDA INTERNATIONAL HOLDING GMBH,1,2025
ZURIQUE,HITACHI ENERGY LTD,1,2025
ZURIQUE,HITACHI ABB POWER GRIDS AG,1,2025
ZURIQUE,ATIVISM GMBH,1,2025
ZURIQUE,GEDORE OMNITOOL GMBH,1,2025
ZURIQUE,CREDIT SUISSE (SWITZERLAND) LTD,1,2025
ZURIQUE,CONTORAL AG,1,2025
ZURIQUE,LYCONET GLOBAL AG,1,2025
ZURIQUE,WAMONOS AG,1,2025
MEILEN,LOTOS A.G.,1,2025
MEILEN,TF VENTURES HOLDING GMBH,1,2025
LUGANO,MANFID SA,1,2025
LUGANO,LE JARDIN DES REVES SAGL,1,2025
LUGANO,TAS INTERNATIONAL SA,1,2025
LUGANO,IANUA PATET SA,1,2025
LUGANO,AVERING & PARTNERS SAGL,1,2025
LUGANO,FUNDACAO NUOVO MONDO,1,2025
LUGANO,PINI GROUP S A,1,2025
LUGANO,BLASTING S A,1,2025
LUGANO,BLUE FUTURA SA,1,2025
LUGANO,SFORZESCO SA,1,2025
LUGANO,S.MA.RR.T. HOLDING SA,1,2025
LUGANO,GEOTECNO SA,1,2025
LUGANO,VITALBA HOLDING S.A.,1,2025
LUGANO,GIS GROUP OF INTERNATIONAL SCHOOLS (SUISSE) SA,1,2025
LUGANO,99 TECHNOLOGIES S.A.,1,2025
LUGANO,PHARMA GROSS SA,1,2025
LUGANO,IMAGRO TXF SUISSE SA,1,2025
LUGANO,LAKEVIEW INVESTMENT S.A.,1,2025
LUGANO,ROCCHETTA IMMOBILIARE S/A,1,2025
LUGANO,GINA B SA,1,2025
LUGANO,ALTARA SA,1,2025
LUGANO,CDC CREAM DELLA CREAM AG,1,2025
LUGANO,BRASINVEST SA,1,2025
LUGANO,CIBRA RESOURCES SA,1,2025
LUGANO,TDM - THE DESTINATION MANAGER SA,1,2025
LUGANO,SOLOMON INVESTMENTS SA,1,2025
LUGANO,WFI WORLD FINANCIAL INVESTMENTS SA,1,2025
LUGANO,VICOS SA,1,2025
LUGANO,F. CAPUTO NASSETTI SAGL,1,2025
LUGANO,CAPITALS HOLDING SA,1,2025
LUGANO,SUPRAFIN SAGL,1,2025
LUGANO,FINTRASPO SA,1,2025
LUGANO,TOP GLASS EU SA,1,2025
LUGANO,SOLAISE SA,1,2025
LUGANO,CASALE S.A,1,2025
LUGANO,GLOBAL QUALITY STEEL SOCIETA ANONIMA,1,2025
LUGANO,BETASPACE S/A,1,2025
LUGANO,SOHS SA,1,2025
ZUG,SUREPURE INVESTMENT HOLDING AG,1,2025
ZUG,CHIRONEX LTD,1,2025
ZUG,"F. LLI GALLI, CAMIS & STOCK AG",1,2025
ZUG,POLO SWISS DEVELOPMENT LTD,1,2025
ZUG,KIN HEALTHCARE COSMETICS AG,1,2025
ZUG,STARONIX AG,1,2025
ZUG,KORE WIRELESS GMBH,1,2025
ZUG,CONSENSYS AG,1,2025
ZUG,KAIZEN INSTITUTE CONSULTING GROUP (LATAM) GMBH,1,2025
ZUG,DYNASTY GLOBAL INVESTMENTS AG,1,2025
ZUG,GLOBAL SWISS LEARNING AG,1,2025
ZUG,FRANCHISE INTERNATIONAL GMBH,1,2025
ZUG,DEUBLIN HOLDING GMBH,1,2025
ZUG,METACHIM AG,1,2025
ZUG,CALEDONIA TRADING LTD,1,2025
ZUG,ATLAS AGRO HOLDING AG,1,2025
ZUG,BBG GLOBAL AG,1,2025
ZUG,WILD FLAVORS INTERNATIONAL GMBH,1,2025
ZUG,CIRCULATE CAPITAL LAC GROWTH GMBH,1,2025
ZUG,ARCHER GROUP AG,1,2025
ZUG,VELLAMO HOLDING GMBH,1,2025
ZUG,KAPPA HOLDING AG,1,2025
ZUG,TRANSFERO SWISS LTD,1,2025
ZUG,FMC AGRICULTURAL PRODUCTS INTERNATIONAL AG,1,2025
ZUG,ALNYLAM SWITZERLAND GMBH,1,2025
ZUG,SAREPTA INTERNATIONAL HOLDINGS GMBH,1,2025
ZUG,IM BUHL IMMOBILIEN + FINANZ AG,1,2025
ZUG,GREENTRIANGLE AG,1,2025
ZUG,MEDISON PHARMA TRADING AG,1,2025
ZUG,JNTL (SWITZERLAND) HOLDCO GMBH,1,2025
ZUG,FOOTBAO.WORLD AG,1,2025
ZUG,TRANCOSO LA PALMA LLC,1,2025
ZUG,KD SWISS GMBH,1,2025
ZUG,JACOBS DOUWE EGBERTS SOURCING CH GMBH,1,2025
ZUG,LUXOFT GLOBAL OPERATIONS GMBH,1,2025
ZUG,WHALES CORP AG,1,2025
ZUG,SUREPURE OPERATIONS AG,1,2025
ZUG,POLAR ELECTRO EUROPE AG,1,2025
ZUG,TERRAFERTIL GOLD SWITZERLAND GMBH,1,2025
ZUG,KOCH FERTILIZER HOLDING GMBH,1,2025
ZUG,MENU TECHNOLOGIES AG,1,2025
ZUG,CILAG GMBH INTERNATIONAL,1,2025
ZUG,VP&K HOLDING AG,1,2025
ZUG,AMC INVESTMENT AG,1,2025
ZUG,FMC CHEMICAL INTERNATIONAL AG,1,2025
ZUG,KAIZEN INSTITUTE LTD,1,2025
ZUG,INDULOR AG,1,2025
ZUG,PUREFERT TRADING AG (PUREFERT TRADING SA) (PUREFERT TRADING LTD.),1,2025
ZUG,CARDINAL HEALTH SWITZERLAND 515 GMBH,1,2025
ZUG,PHOENIX CONSULTING AND TRANDING LTD,1,2025
ZUG,ECOMANDA AG,1,2025
ZUG,LAUDES FOUNDATION,1,2025
ZUG,MITTO AG,1,2025
